"entrezgene_id"	"V2"
79023	82657.1702393
10371	11465.2669228
51512	5818.57511652
10512	26823.6553137
55020	211658.461317
38	265211.987582
23151	330921.540253
9620	132038.83275
7479	412.473189243
27332	222779.170148
55972	68866.2184409
29090	65681.4449918
119	1420.62887746
2249	0
9462	63889.6392453
9605	139938.62861
7587	67874.2501309
4140	133449.249542
5250	1056842.3664
64778	252546.237094
2355	529275.084335
27091	0
27092	266154.060933
285527	42696.5195698
23505	150725.358801
6624	158404.004931
60	29349630.1119
55034	15626.3047806
5337	14384.6937374
479	130.74341523
284403	2881.53137054
1739	188413.823459
7879	3685392.83813
55973	156223.59502
25956	6474.86258064
9733	225603.490085
55843	6750.43297699
113457	3452.59160157
5076	0
23016	184805.817428
22920	198973.486972
23609	242460.082791
4175	158799.974262
25996	207482.377392
10179	80503.885827
5939	380381.135533
11176	305168.806636
25930	403261.265028
4292	251822.589629
7374	424655.529451
2329	39917.3100232
27252	109899.767658
8786	21606.0987299
113235	31675.9201415
5362	131041.304534
10615	15813.8843782
88455	444895.489956
7163	385533.461735
32	28807.8896382
9618	189354.271607
55824	42333.5270108
55094	64831.0800974
3385	8465.34805746
22978	287565.171724
4162	200668.929034
2239	226860.254083
55796	60342.3356382
57662	226551.218443
5909	315609.719947
56949	411740.923551
9138	131606.267269
6813	232208.747491
5609	219888.214555
27231	0
8527	69601.1252974
83992	100013.285917
51412	0
5915	22306.7999904
7155	1013211.044
56889	1055849.50932
4791	218821.994233
29089	42262.0416997
4660	17565.8518723
54431	113539.472312
2975	295630.187255
3566	310088.022087
23032	212727.889946
5063	16050.934967
827	10498.6449423
1641	0
6626	515577.160928
9576	224.117153507
56915	237886.150303
1781	516995.916032
54518	27717.8667637
4034	81704.1949308
143684	37871.6197747
51548	151806.709528
7299	192.560427869
10714	87251.4092684
88	105.020298455
832	1536742.113
7107	323833.433287
10003	1881.43271101
79960	310706.849733
203427	131813.454597
7319	291702.040126
2260	142011.874914
8468	0
27127	2389.68713448
2192	272782.269153
8516	9334.78112446
8530	73688.1134984
4133	244885.821326
9063	39464.1319273
273	3142.87591179
369	503628.480556
56922	165250.44826
27074	63615.9907468
2191	89233.2116933
10529	250781.765686
55331	54209.9802603
3093	394076.806361
5289	66120.9030371
55728	26336.5494359
57103	63397.797767
7289	157194.686464
8871	96413.2069849
108	513.274882086
5527	247786.203366
NA	162435.418709
54715	247.493957943
2782	1481047.81791
3205	575.201964794
1906	7998.69307069
8028	145148.134045
55063	57761.16415
117	2762.7009865
26281	10149.5772443
27334	7730.61231885
